BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_ICM,AVG_ICM_O70,MED_ICM,CD_CNT,SINCD_CNT,CHKCD_CNT,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT,AVG_SCR,RT_SCR1,RT_SCR2,RT_SCR3
202001,ADM_DONG,11,서울특별시,11680,강남구,11680531,논현2동,2,20,2017,7870,2000,147,13,146,22,87,1,1,0,0,1,60251,60251,0,0,38251,5,.06,.86,.01
202001,ADM_DONG,27,대구광역시,27290,달서구,27290601,월성1동,1,40,3855,8300,3250,13,4,12,52,79,2,1,1,1,1,9474,9000,9948,9000,9948,4,.15,.80,.05
202001,ADM_DONG,44,충청남도,44200,아산시,44200400,도고면,2,60,2280,,2100,5,2,5,167,60,0,0,0,0,0,0,0,0,0,0,4,.20,.80,0
202001,ADM_DONG,47,경상북도,47760,영양군,47760330,일월면,2,30,2300,,2300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.00,0
202001,ADM_DONG,44,충청남도,44131,천안시동남구,44131580,청룡동,2,20,1858,,1900,430,10,430,2,71,1,0,1,0,0,1360,0,1360,0,0,5,.14,.80,0
202001,ADM_DONG,30,대전광역시,30230,대덕구,30230543,송촌동,1,50,3829,7300,3250,10,4,10,88,100,0,0,0,0,0,0,0,0,0,0,4,.43,.57,0
202001,ADM_DONG,46,전라남도,46800,장흥군,46800350,유치면,2,20,1950,,1950,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,26,부산광역시,26230,부산진구,26230700,당감제4동,2,20,2018,,2000,26,2,26,9,76,0,0,0,0,0,0,0,0,0,0,4,.21,.76,0
202001,ADM_DONG,47,경상북도,47730,의성군,47730420,단북면,2,40,2800,,2800,1,0,1,0,181,0,0,0,0,0,0,0,0,0,0,4,0,1.00,0
202001,ADM_DONG,11,서울특별시,11620,관악구,11620745,삼성동,1,60,2257,,2100,25,8,24,13,14,4,1,3,1,1,4416,14000,1221,206,14000,4,.21,.72,.06
